"No.","Time","Source","Destination","Protocol","Length","Info"
"1063","-1253859867.454407","10.11.2.6","dns.google","DNS","68","Standard query 0x82bc AAAA gaode-acs.m.taobao.com"
"1064","-1253859867.412452","m5.amap.com.gds.alibabadns.com","10.11.2.6","TCP","417","80  >  40809 [PSH, ACK] Seq=1 Ack=1251 Win=31872 Len=365 TSval=2272859773 TSecr=12681702 [TCP segment of a reassembled PDU]"
"1065","-1253859867.412021","m5.amap.com.gds.alibabadns.com","10.11.2.6","HTTP","112","HTTP/1.1 200 OK  (application/json)"
"1066","-1253859867.385122","dns.google","10.11.2.6","DNS","161","Standard query response 0xae4e A control.aps.amap.com CNAME wagbridge.gaode.com CNAME wagbridge.gaode.com.gds.alibabadns.com A 106.11.186.29"
"1067","-1253859867.323153","10.11.2.6","m5.amap.com.gds.alibabadns.com","TCP","52","40809  >  80 [ACK] Seq=1251 Ack=366 Win=82688 Len=0 TSval=12681756 TSecr=2272859773"
"1068","-1253859867.320642","10.11.2.6","m5.amap.com.gds.alibabadns.com","TCP","52","40809  >  80 [FIN, ACK] Seq=1251 Ack=427 Win=82688 Len=0 TSval=12681756 TSecr=2272859773"
"1069","-1253859867.320590","m5.amap.com.gds.alibabadns.com","10.11.2.6","TCP","52","80  >  40809 [ACK] Seq=427 Ack=1252 Win=31872 Len=0 TSval=2272859796 TSecr=12681756"
"1070","-1253859867.298989","10.11.2.6","wagbridge.gaode.com.gds.alibabadns.com","TCP","60","56782  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=12681758 TSecr=0 WS=64"
"1071","-1253859867.298925","wagbridge.gaode.com.gds.alibabadns.com","10.11.2.6","TCP","60","80  >  56782 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2272859802 TSecr=12681758 WS=128"
"1072","-1253859867.307669","10.11.2.6","wagbridge.gaode.com.gds.alibabadns.com","TCP","52","56782  >  80 [ACK] Seq=1 Ack=1 Win=81600 Len=0 TSval=12681766 TSecr=2272859802"
"1073","-1253859867.307647","10.11.2.6","wagbridge.gaode.com.gds.alibabadns.com","HTTP","624","POST /conf/r?type=3&mid=300&sver=140 HTTP/1.1  (application/x-www-form-urlencoded)"
"1074","-1253859867.307578","wagbridge.gaode.com.gds.alibabadns.com","10.11.2.6","TCP","52","80  >  56782 [ACK] Seq=1 Ack=573 Win=30208 Len=0 TSval=2272859822 TSecr=12681766"
"1075","-1253859867.277875","dns.google","10.11.2.6","DNS","187","Standard query response 0x82bc AAAA gaode-acs.m.taobao.com CNAME openacs.m.taobao.com CNAME openacs.m.taobao.com.gds.alibabadns.com SOA gdsns1.alibabadns.com"
"1076","-1269437713.732561","10.11.2.6","dns.google","DNS","72","Standard query 0xa76c AAAA android.clients.google.com"
"1077","-1269437713.708324","dns.google","10.11.2.6","DNS","146","Standard query response 0xa76c AAAA android.clients.google.com CNAME android.l.google.com SOA ns3.google.com"
"1078","-1269437713.615168","10.11.2.6","dns.google","DNS","72","Standard query 0xdd68 A android.clients.google.com"
"1079","-1269437713.601012","dns.google","10.11.2.6","DNS","112","Standard query response 0xdd68 A android.clients.google.com CNAME android.l.google.com A 172.217.7.238"
"1080","-1269437713.465448","10.11.2.6","android.l.google.com","TCP","60","59545  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1360 SACK_PERM=1 TSval=12319083 TSecr=0 WS=64"
"1081","-1269437713.465389","android.l.google.com","10.11.2.6","TCP","60","443  >  59545 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2271936237 TSecr=12319083 WS=128"
"1082","-1269437713.372945","10.11.2.6","android.l.google.com","TCP","52","59545  >  443 [ACK] Seq=1 Ack=1 Win=81600 Len=0 TSval=12319092 TSecr=2271936237"
"1083","-1269437713.297383","10.11.2.6","android.l.google.com","TLSv1.2","225","Client Hello"
"1084","-1269437713.297332","android.l.google.com","10.11.2.6","TCP","52","443  >  59545 [ACK] Seq=1 Ack=174 Win=30080 Len=0 TSval=2271936279 TSecr=12319099"
"1085","-1269437713.291402","android.l.google.com","10.11.2.6","TLSv1.2","1400","Server Hello"
"1086","-1269437713.291358","android.l.google.com","10.11.2.6","TLSv1.2","836","Certificate, Server Key Exchange, Server Hello Done"
"1087","-1269437713.199834","10.11.2.6","android.l.google.com","TCP","52","59545  >  443 [ACK] Seq=174 Ack=1349 Win=84352 Len=0 TSval=12319109 TSecr=2271936280"
"1088","-1269437713.199824","10.11.2.6","android.l.google.com","TCP","52","59545  >  443 [ACK] Seq=174 Ack=2133 Win=87040 Len=0 TSval=12319109 TSecr=2271936280"
"1089","-1269437713.179529","10.11.2.6","android.l.google.com","TLSv1.2","178","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"1090","-1269437713.177211","android.l.google.com","10.11.2.6","TLSv1.2","103","Change Cipher Spec, Encrypted Handshake Message"
"1091","-1269437713.085048","10.11.2.6","android.l.google.com","TLSv1.2","598","Application Data"
"1092","-1269437713.043084","android.l.google.com","10.11.2.6","TCP","52","443  >  59545 [ACK] Seq=2184 Ack=846 Win=31232 Len=0 TSval=2271936342 TSecr=12319120"
"1093","-1269433418.995862","android.l.google.com","10.11.2.6","TLSv1.2","623","Application Data"
